iteration,V,para,tao
0,-10.547697578544504,-1.857620415781092,1.5
1,-5.36464513265251,-3.043326664034487e-07,2.25
2,-0.4163155468994475,-4.599450500149245e-06,3.375
3,0.5601964689274689,2.604243180167529e-05,5.0625
4,0.46737367941566965,-6.381007597370158e-06,7.59375
5,0.4248460736210236,2.942410926552012e-06,11.390625
6,0.39220832818684154,1.6984495941031663e-06,17.0859375
7,0.37509067963621584,3.899488585941636e-07,20
8,0.3395413279629572,-2.8817690067578464e-06,20
9,0.3274932883406275,1.6157785736254721e-06,20
