iteration,V
0,257.37264283734953
1,154.99652466101833
2,97.47526565169147
3,113.44908613398027
4,112.97086553315015
5,112.5770558192187
6,112.25512998224954
7,111.55235593570247
8,111.09638047477497
9,110.61119916789447
10,110.21941181825882
11,109.7907169714129
12,109.4399151322703
13,108.95858560849415
14,108.50616325729092
15,108.08977332346231
16,107.53697240110344
17,108.34837908702195
18,106.71302014982467
19,106.43629727004861
20,105.96023049993211
21,105.37591820750173
22,104.98730564831023
23,104.54454187406029
24,104.3538879173366
25,103.83789845864469
26,103.32020561324413
27,102.76736495734649
28,102.40407922791434
29,102.06273133390194
