iteration,V,para,tao
0,-215.48572790345042,-6.075877453123132,1.5
1,-60.41799275305374,-0.00016070832982751623,2.25
2,9.497441127454618,5.164727479902028e-07,3.375
3,7.409352560594522,-1.8606914130457264e-07,5.0625
4,6.27730411783083,-6.770500629910269e-08,7.59375
5,5.5979169675777305,3.9017152489446805e-08,11.390625
6,5.148705289041816,-7.366541003132858e-07,17.0859375
7,4.878514938533048,2.4219743998543184e-07,20
8,4.5977085283812915,-9.542207325868632e-08,20
9,4.380772083428859,3.8876232330970786e-07,20
